,Energy,BIT8151720,BIT18475850,BIT22127076,BIT35877664,BIT39553675,BIT67883118,BIT98575424,BIT160201318,BIT165768516,BIT190396141,BIT193812488,BIT193905305,BIT195174094,BIT204573484,BIT206555680,BIT254979621,BIT296979728,BIT327764410,BIT331244919,BIT354151221,BIT363661339,BIT381524754,BIT391623067,BIT391926730,BIT433091012,BIT434273302,BIT470422459,BIT479462217,BIT492253282,BIT493703678,BIT498915449,BIT539844994,BIT564412112,BIT608558994,BIT613285849,BIT625837065,BIT643812180,BIT699060252,BIT709069158,BIT714933578,BIT763954459,BIT771407161,BIT772254156,BIT777260172,BIT783344587,BIT861898111,BIT880670941,BIT942263248,BIT1039658456,BIT1096928069,BIT1112393919,BIT1138498876,BIT1141917637,BIT1176326933,BIT1207980612,BIT1217230729,BIT1227329179,BIT1242263589,BIT1268578469,BIT1292054050,BIT1325916890,BIT1361749871,BIT1365907629,BIT1395138066,BIT1409095359,BIT1435137741,BIT1485195517,BIT1565499807,BIT1569019336,BIT1579686657,BIT1618159230,BIT1638686344,BIT1646772173,BIT1647720754,BIT1649273143,BIT1673480675,BIT1676357821,BIT1693287139,BIT1707602695,BIT1721700199,BIT1764179822,BIT1771412232,BIT1779254644,BIT1790862401,BIT1851359879,BIT1860328836,BIT1861445932,BIT1861515858,BIT1901912998,BIT1968184599,BIT2018597219,BIT2019228159,BIT2062551857,BIT2082768527,BIT2105264388,BIT2111822250,BIT2148797992,BIT2152036900,BIT2154706750,BIT2210528107,BIT2231458093,BIT2235875924,BIT2240459001,BIT2268786704,BIT2274798181,BIT2284949991,BIT2285652680,BIT2307784605,BIT2308143090,BIT2342500853,BIT2352890838,BIT2377994081,BIT2481793680,BIT2486873336,BIT2501781659,BIT2561129186,BIT2565421464,BIT2566997210,BIT2569907861,BIT2629958465,BIT2640778384,BIT2641509805,BIT2651616882,BIT2705183087,BIT2727252873,BIT2761467553,BIT2782797977,BIT2811697294,BIT2816639212,BIT2822953177,BIT2826217777,BIT2829895235,BIT2851403106,BIT2861919460,BIT2863895727,BIT2869847624,BIT2871612728,BIT2871735398,BIT2900457620,BIT2911417036,BIT2943139145,BIT2974052958,BIT2987213973,BIT2988692243,BIT3002336202,BIT3036014574,BIT3052718679,BIT3074702486,BIT3077336290,BIT3092527135,BIT3112929488,BIT3135501776,BIT3140359126,BIT3143403067,BIT3180641768,BIT3240599655,BIT3243814584,BIT3246671731,BIT3249097648,BIT3286342642,BIT3315517054,BIT3340903069,BIT3369323179,BIT3386109154,BIT3404043678,BIT3405911371,BIT3477453340,BIT3485465422,BIT3508942242,BIT3511428510,BIT3543821537,BIT3562312874,BIT3562829857,BIT3609391398,BIT3613987573,BIT3653128271,BIT3661392088,BIT3677280923,BIT3683604830,BIT3694307783,BIT3696768978,BIT3704428619,BIT3705774485,BIT3725355002,BIT3727990652,BIT3740368654,BIT3791019275,BIT3866884175,BIT3967062985,BIT3975214870,BIT3991753262,BIT4030205765,BIT4037040228,BIT4043098439,BIT4155789727,BIT4165710193,BIT4188580987,BIT4216389085,BIT4257993391,BIT4271161317,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
1,61.0553,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,439.0,576.0,687.0,10.79,0.7,5.19
8,83.3814,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",465.0,640.0,678.0,13.2,0.67,6.0
9,80.6866,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",460.0,590.0,695.0,12.2,0.74,6.2
10,84.5536,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",454.0,525.0,800.0,9.0,0.76,5.5
11,35.5163,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,465.0,490.0,560.0,3.41,0.73,1.39
12,34.304,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,438.0,500.0,660.0,7.72,0.71,3.62
13,38.2768,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,425.0,487.0,600.0,4.03,0.73,1.77
14,41.3232,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,413.0,490.0,690.0,5.79,0.7,2.8
15,52.3729,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,449.0,494.0,580.0,3.33,0.73,1.41
91,35.4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,420.0,510.0,709.0,6.79,0.7,3.1
