,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE,Molecule Graph
0,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,439.0,576.0,CH2Cl2/MeOH (1:1),687.0,10.79,0.7,5.19,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1BE40>
10,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,465.0,490.0,Acetonitrile-DMSO,560.0,3.41,0.73,1.39,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B940>
11,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,coumarin,438.0,500.0,Acetonitrile-DMSO,660.0,7.72,0.71,3.62,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B9E0>
12,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,425.0,487.0,Acetonitrile-DMSO,600.0,4.03,0.73,1.77,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B710>
13,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,coumarin,413.0,490.0,Acetonitrile-DMSO,690.0,5.79,0.7,2.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1BC60>
14,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,449.0,494.0,Acetonitrile-DMSO,580.0,3.33,0.73,1.41,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1BC10>
16,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,coumarin,578.0,673.0,"methanol, tert-butyl alcohol-acetonitrile",380.0,4.5,0.63,1.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B350>
17,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,616.0,490.0,"methanol, tert-butyl alcohol-acetonitrile",340.0,2.7,0.63,0.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B3F0>
18,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,coumarin,539.0,580.0,"methanol, tert-butyl alcohol-acetonitrile",490.0,7.5,0.7,2.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B2B0>
19,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,coumarin,506.0,610.0,"methanol, tert-butyl alcohol-acetonitrile",480.0,12.8,0.6,3.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B260>
22,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,coumarin,480.0,535.0,"methanol, tert-butyl alcohol-acetonitrile",530.0,13.2,0.67,4.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B3A0>
23,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,coumarin,477.0,600.0,"methanol, tert-butyl alcohol-acetonitrile",500.0,9.4,0.65,3.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B760>
24,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,493.0,540.0,"methanol, tert-butyl alcohol-acetonitrile",500.0,12.9,0.64,4.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1BDF0>
49,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,coumarin,460.0,581.0,CH3OH-CHCl3,690.0,9.79,0.71,4.78,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC1B8A0>
50,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,coumarin,489.0,607.0,CH3OH-CHCl3,500.0,0.96,0.69,0.33,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39030>
51,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,coumarin,438.0,500.0,CH3OH-CHCl3,660.0,7.72,0.71,3.62,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39080>
52,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,407.0,485.0,acetonitrile,554.0,2.98,0.63,1.04,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC390D0>
53,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,414.0,496.0,acetonitrile,704.0,4.57,0.7240000000000001,2.33,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39120>
