SMILES,name,canvasUID,chiral flag,version,ct enhanced stereo status,Source Path,Source File,Source File Index,Chiralities Consistent,flags,mmshare version,source file index,Energy,Force Field,Variant,source file,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,Jm,BIT8151720,BIT18475850,BIT22127076,BIT35877664,BIT39553675,BIT67883118,BIT98575424,BIT160201318,BIT165768516,BIT190396141,BIT193812488,BIT193905305,BIT195174094,BIT204573484,BIT206555680,BIT254979621,BIT296979728,BIT327764410,BIT331244919,BIT354151221,BIT363661339,BIT381524754,BIT391623067,BIT391926730,BIT433091012,BIT434273302,BIT470422459,BIT479462217,BIT492253282,BIT493703678,BIT498915449,BIT539844994,BIT564412112,BIT608558994,BIT613285849,BIT625837065,BIT643812180,BIT699060252,BIT709069158,BIT714933578,BIT763954459,BIT771407161,BIT772254156,BIT777260172,BIT783344587,BIT861898111,BIT880670941,BIT942263248,BIT1039658456,BIT1096928069,BIT1112393919,BIT1138498876,BIT1141917637,BIT1176326933,BIT1207980612,BIT1217230729,BIT1227329179,BIT1242263589,BIT1268578469,BIT1292054050,BIT1325916890,BIT1361749871,BIT1365907629,BIT1395138066,BIT1409095359,BIT1435137741,BIT1485195517,BIT1565499807,BIT1569019336,BIT1579686657,BIT1618159230,BIT1638686344,BIT1646772173,BIT1647720754,BIT1649273143,BIT1673480675,BIT1676357821,BIT1693287139,BIT1707602695,BIT1721700199,BIT1764179822,BIT1771412232,BIT1779254644,BIT1790862401,BIT1851359879,BIT1860328836,BIT1861445932,BIT1861515858,BIT1901912998,BIT1968184599,BIT2018597219,BIT2019228159,BIT2062551857,BIT2082768527,BIT2105264388,BIT2111822250,BIT2148797992,BIT2152036900,BIT2154706750,BIT2210528107,BIT2231458093,BIT2235875924,BIT2240459001,BIT2268786704,BIT2274798181,BIT2284949991,BIT2285652680,BIT2307784605,BIT2308143090,BIT2342500853,BIT2352890838,BIT2377994081,BIT2481793680,BIT2486873336,BIT2501781659,BIT2561129186,BIT2565421464,BIT2566997210,BIT2569907861,BIT2629958465,BIT2640778384,BIT2641509805,BIT2651616882,BIT2705183087,BIT2727252873,BIT2761467553,BIT2782797977,BIT2811697294,BIT2816639212,BIT2822953177,BIT2826217777,BIT2829895235,BIT2851403106,BIT2861919460,BIT2863895727,BIT2869847624,BIT2871612728,BIT2871735398,BIT2900457620,BIT2911417036,BIT2943139145,BIT2974052958,BIT2987213973,BIT2988692243,BIT3002336202,BIT3036014574,BIT3052718679,BIT3074702486,BIT3077336290,BIT3092527135,BIT3112929488,BIT3135501776,BIT3140359126,BIT3143403067,BIT3180641768,BIT3240599655,BIT3243814584,BIT3246671731,BIT3249097648,BIT3286342642,BIT3315517054,BIT3340903069,BIT3369323179,BIT3386109154,BIT3404043678,BIT3405911371,BIT3477453340,BIT3485465422,BIT3508942242,BIT3511428510,BIT3543821537,BIT3562312874,BIT3562829857,BIT3609391398,BIT3613987573,BIT3653128271,BIT3661392088,BIT3677280923,BIT3683604830,BIT3694307783,BIT3696768978,BIT3704428619,BIT3705774485,BIT3725355002,BIT3727990652,BIT3740368654,BIT3791019275,BIT3866884175,BIT3967062985,BIT3975214870,BIT3991753262,BIT4030205765,BIT4037040228,BIT4043098439,BIT4155789727,BIT4165710193,BIT4188580987,BIT4216389085,BIT4257993391,BIT4271161317
O=C(O)\C(C#N)=C\c(s1)ccc1C(\C#N)=C\c2ccc(cc2)N(c3ccccc3)CCCCCCN4c(c5Sc(c46)cccc6)ccc(c5)/C=C(C#N)/c7ccc(s7)/C=C(C#N)/C(=O)O,1,1,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,1,1,0,50079,,61.0553,OPLS_2005,1-1,,17,0,0,2,0,25,2,-2,907.09,5.627,1435.889,182.109,433.196,736.51,84.074,2671.862,2,11,0.0118494,0.010834,0.6485154,91.755,34.776,41.684,19.41,10.467,-15.244,-16.401,-7.117,0.05,-7.604,0.051,-4.509,7.876,2.117,8,2.149,1,38.956,0,0,205.387,10,2,3,36,0,36,0,65,1.6038659016298e-14,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0
N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(s2)-c3ccc(cc3)N(c4ccc(cc4)/C=C/c(c5)c(=O)oc(c56)cc(cc6)N(CC)CC)c7ccc(cc7)/C=C/c(c8)c(=O)oc(c89)cc(cc9)N(CC)CC,8,2,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,2,1,0,50079,,83.3814,OPLS_2005,8-1,,15,0,0,1,0,19,3,-2,987.198,12.071,1599.227,494.114,294.279,748.742,62.092,2985.16,1,11,0.0488134,0.0068783,0.6269508,108.263,37.218,45.803,18.793,13.011,-19.226,-18.88,-9.332,4.063,-5.421,3.584,-2.481,7.898,1.953,5,3.487,1,88.108,0,0,162.24,10,2,2,48,0,48,0,72,1.93534273469278e-16,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)\C=C\c(cc3)ccc3N(c(cc4)ccc4-c(s5)ccc5/C=C(\C#N)C(=O)O)c6ccc(cc6)/C=C/c(c7)c(=O)oc(c78)cc(cc8)N(CC)CC,9,3,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,3,1,0,50079,,80.6866,OPLS_2005,9-1,,15,0,0,1,0,19,3,-2,905.078,12.937,1487.302,491.322,283.832,679.218,32.93,2774.039,1,11,0.0603328,0.0073959,0.6419595,99.15,33.906,42.561,17.969,11.536,-17.03,-16.861,-8.757,5.104,-5.092,3.175,-2.534,7.907,1.807,4,2.897,1,81.247,0,0,160.337,10,2,2,43,0,43,0,67,2.47187952105774e-14,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)/C=C/c3ccc(cc3)N(c4ccc(cc4)/C=C(C#N)\C(=O)O)c5ccc(cc5)/C=C/c(c6)c(=O)oc(c67)cc(cc7)N(CC)CC,10,4,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,4,1,0,50079,,84.5536,OPLS_2005,10-1,,14,0,0,1,0,19,3,-2,822.959,11.899,1384.192,483.234,272.845,628.112,0,2571.19,1,11,0.0550662,0.0079469,0.6557299,90.544,30.893,39.249,17.287,10.128,-14.988,-14.847,-8.291,6.488,-4.812,2.716,-2.511,7.822,1.214,3,2.332,1,74.865,0,0,155.276,10,2,2,38,0,38,0,62,2.60964517048553e-12,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
CCN(CC)[C@H](C=C1)Cc(c12)oc(=O)c(c2)-c3ccc(cc3)-c4ccc(s4)C=C([C@H]5SC(=S)N(C5=O)CC(=O)O)[C@H]6SC(=S)N(C6=O)CC(=O)O,11,5,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,5,1,0,50079,,35.5163,OPLS_2005,11-1,,11,1,0,2,0,11,0,-2,781.945,10.301,1090.436,322.615,265.545,276.396,225.88,2086.187,2,13.5,0.0508593,0.0175085,0.7241032,72.912,24.092,37.016,19.909,4.486,-9.398,-10.155,-4.426,0.481,-2.523,3.962,-6.446,8.941,2.268,8,0.664,1,21.598,0,0,211.823,11,2,3,31,0,31,4,51,1.11851604706272e-10,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)-c3ccc(cc3)-c4ccc(s4)C/C=C(C#N)\C(=O)O,12,6,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,6,1,0,50079,,34.304,OPLS_2005,12-1,,1,0,0,1,0,8,1,-2,484.569,11.467,846.106,259.078,222.618,332.351,32.059,1507.285,1,7,0.0872336,0.0082732,0.7513993,52.205,16.931,24.282,12.136,5.273,-8.848,-8.524,-5.332,19.427,-2.469,13.316,-3.683,8.368,1.142,3,0.794,1,67.922,0,0,114.55,6,1,2,21,0,21,0,35,1.42372507897462e-07,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)-c3ccc(cc3)-c4ccc(cc4)C=C([C@H]5SC(=S)N(C5=O)CC(=O)O)[C@H]6SC(=S)N(C6=O)CC(=O)O,13,7,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,7,1,0,50079,,38.2768,OPLS_2005,13-1,,13,0,0,2,0,12,0,-2,773.907,11.747,1126.132,297.383,284.586,355.991,188.172,2118.634,2,12.5,0.0651362,0.0156977,0.708402,74.328,25.113,37.064,19.447,7.323,-10.645,-11.647,-4.333,1.272,-3.479,6.371,-4.358,8.657,2.301,5,0.904,1,32.813,0,0,210.866,11,3,2,32,0,32,2,52,7.68181175168815e-10,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)-c3ccc(cc3)-c4ccc(cc4)/C=C(C#N)/C(=O)O,14,8,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,8,1,0,50079,,41.3232,OPLS_2005,14-1,,1,0,0,1,0,9,1,-2,464.52,10,829.523,226.938,220.722,381.863,0,1479.293,1,7,0.0675975,0.0084386,0.7569016,50.915,16.73,23.461,12.189,5.047,-8.248,-8.173,-5.479,20.249,-2.547,9.294,-3.378,8.634,1.435,1,0.678,1,66.918,0,0,116.4,6,1,2,22,0,22,0,35,1.0982516499361e-06,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)-c3ccc(cc3)/C=C(\[C@H]4SC(=S)N(C4=O)C(=O)O)[C@H]5SC(=S)N(C5=O)CC(=O)O,15,9,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,9,1,0,50079,,52.3729,OPLS_2005,15-1,,8,0,0,2,0,9,0,-2,683.783,12.259,1004.265,294.002,290.6,213.67,205.993,1865.244,1,11.5,0.0805686,0.0114512,0.7296937,64.755,21.382,31.976,16.445,6.128,-9.402,-9.896,-3.31,1.115,-3.112,6.921,-5.258,8.811,2.46,4,0.564,1,24.796,0,0,210.428,11,3,2,26,0,26,2,45,1.49298751343038e-09,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0
CCN(CC)c(cc1)cc(c12)oc(=O)c(c2)-c3ccc(cc3)/C=C(C#N)\C(=O)O,91,10,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,10,1,0,50079,,35.4634,OPLS_2005,91-1,,0,0,0,1,0,8,1,-2,388.422,9.696,708.465,233.461,214.393,260.611,0,1244.775,1,7,0.0755269,0.0098805,0.7899031,41.014,13.418,20.004,11.25,3.482,-6.261,-6.27,-4.367,23.249,-2.209,10.791,-3.785,8.669,1.324,1,0.102,1,71.792,0,0,113.685,6,0,1,16,0,16,0,29,3.4962178611261e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
