,SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
0,O=C(O)/C(C#N)=C/c1sc(cc1)/C(C#N)=C/c2ccc(cc2)N(c3ccccc3)CCCCCCN4c(cccc5)c5Sc(c46)cc(cc6)/C=C(\C#N)c7ccc(s7)/C=C(\C#N)C(=O)O,1,907.0909,12.4024,4,0,15,65,0,0,7,258.02,158.505,261.2843,117.56,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,439.0,576.0,687.0,10.79,0.7,5.19
1,N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(s2)-c3ccc(cc3)N(c4ccc(cc4)/C=C/c(c(=O)o5)cc(c56)ccc(c6)N(CC)CC)c7ccc(cc7)/C=C/c(c(=O)o8)cc(c89)ccc(c9)N(CC)CC,2,987.1922,14.3678,5,0,18,72,0,0,9,187.71,161.84,290.6587,134.749,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",465.0,640.0,678.0,13.2,0.67,6.0
2,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)/C=C/c3ccc(cc3)N(c4ccc(cc4)-c5sc(cc5)/C=C(\C#N)C(=O)O)c6ccc(cc6)/C=C/c(c(=O)o7)cc(c78)ccc(c8)N(CC)CC,3,905.0685,12.695,5,0,15,67,0,0,8,159.47,152.673,269.1792,123.391,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",460.0,590.0,695.0,12.2,0.74,6.2
3,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)/C=C/c3ccc(cc3)N(c4ccc(cc4)/C=C(/C#N)C(=O)O)c5ccc(cc5)/C=C/c(c(=O)o6)cc(c67)ccc(c7)N(CC)CC,4,822.9448,11.1289,5,0,14,62,0,0,7,131.23,143.506,247.6997,112.033,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",454.0,525.0,800.0,9.0,0.76,5.5
4,CCN(CC)[C@@H](C1)C=Cc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(s4)C=C([C@H]5SC(=S)N(C5=O)CC(=O)O)[C@H]6SC(=S)N(C6=O)CC(=O)O,5,781.9609,6.6622,6,0,12,51,3,3,6,291.69,131.837,206.516,88.31,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,465.0,490.0,560.0,3.41,0.73,1.39
5,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(s4)C/C=C(/C#N)C(=O)O,6,484.5662,6.0086,3,0,7,35,0,0,4,122.78,85.67,137.4131,62.925,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,438.0,500.0,660.0,7.72,0.71,3.62
6,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(cc4)C=C([C@H]5SC(=S)N(C5=O)CC(=O)O)[C@H]6SC(=S)N(C6=O)CC(=O)O,7,773.9173,7.3267,6,0,12,52,2,2,6,263.45,134.838,209.1,91.86,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,425.0,487.0,600.0,4.03,0.73,1.77
7,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(cc4)/C=C(\C#N)C(=O)O,8,464.5119,5.8194,3,0,6,35,0,0,4,94.54,86.337,136.3152,62.656,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,413.0,490.0,690.0,5.79,0.7,2.8
8,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)/C=C(\[C@H]4SC(=S)N(C4=O)C(=O)O)[C@H]5SC(=S)N(C5=O)CC(=O)O,9,683.7948,6.5285,6,0,9,45,2,2,5,263.45,122.004,179.4029,77.101,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,449.0,494.0,580.0,3.33,0.73,1.41
9,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)/C=C(/C#N)C(=O)O,10,388.4159,4.301,3,0,5,29,0,0,3,94.54,75.003,111.179,49.732,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,420.0,510.0,709.0,6.79,0.7,3.1
10,c1cccc(c12)sc([n+]2CC(=O)O)/C=C/c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,11,515.6431,6.323,2,0,4,37,0,0,6,102.87,82.67,145.2434,65.103,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,578.0,673.0,380.0,4.5,0.63,1.1
11,OC(=O)c(c1)ccc(c12)[N+](C)=C(C2(C)C)/C=C/c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,12,525.6579,4.9438,2,0,3,39,0,0,6,73.76,84.254,152.7204,67.124,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,616.0,490.0,340.0,2.7,0.63,0.6
12,OC(=O)CN1C(=S)S/C(C1=O)=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,13,498.6143,4.8249,4,0,3,34,0,0,5,148.45,83.337,137.1518,56.832,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,539.0,580.0,490.0,7.5,0.7,2.6
13,OC(=O)/C(C(=O)O)=C\C=C\c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,14,437.485,4.2561,2,0,4,32,0,0,4,108.05,83.67,121.4114,50.454,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,506.0,610.0,480.0,12.8,0.6,3.7
14,N#C/C(C(=O)O)=C/C=C/C=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,15,444.5222,4.9984,3,0,5,33,0,0,4,94.54,80.503,131.0518,53.226,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,486.0,520.0,470.0,15.1,0.5,3.5
