SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
O=C(O)/C(C#N)=C/c1sc(cc1)/C(C#N)=C/c2ccc(cc2)N(c3ccccc3)CCCCCCN4c(cccc5)c5Sc(c46)cc(cc6)/C=C(\C#N)c7ccc(s7)/C=C(\C#N)C(=O)O,1,907.0909,12.4024,4,0,15,65,0,0,7,258.0200,158.5050,261.2843,117.5600
N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(s2)-c3ccc(cc3)N(c4ccc(cc4)/C=C/c(c(=O)o5)cc(c56)ccc(c6)N(CC)CC)c7ccc(cc7)/C=C/c(c(=O)o8)cc(c89)ccc(c9)N(CC)CC,2,987.1922,14.3678,5,0,18,72,0,0,9,187.7100,161.8400,290.6587,134.7490
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)/C=C/c3ccc(cc3)N(c4ccc(cc4)-c5sc(cc5)/C=C(\C#N)C(=O)O)c6ccc(cc6)/C=C/c(c(=O)o7)cc(c78)ccc(c8)N(CC)CC,3,905.0685,12.6950,5,0,15,67,0,0,8,159.4700,152.6730,269.1792,123.3910
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)/C=C/c3ccc(cc3)N(c4ccc(cc4)/C=C(/C#N)C(=O)O)c5ccc(cc5)/C=C/c(c(=O)o6)cc(c67)ccc(c7)N(CC)CC,4,822.9448,11.1289,5,0,14,62,0,0,7,131.2300,143.5060,247.6997,112.0330
CCN(CC)[C@@H](C1)C=Cc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(s4)C=C([C@H]5SC(=S)N(C5=O)CC(=O)O)[C@H]6SC(=S)N(C6=O)CC(=O)O,5,781.9609,6.6622,6,0,12,51,3,3,6,291.6900,131.8370,206.5160,88.3100
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(s4)C/C=C(/C#N)C(=O)O,6,484.5662,6.0086,3,0,7,35,0,0,4,122.7800,85.6700,137.4131,62.9250
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(cc4)C=C([C@H]5SC(=S)N(C5=O)CC(=O)O)[C@H]6SC(=S)N(C6=O)CC(=O)O,7,773.9173,7.3267,6,0,12,52,2,2,6,263.4500,134.8380,209.1000,91.8600
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(cc4)/C=C(\C#N)C(=O)O,8,464.5119,5.8194,3,0,6,35,0,0,4,94.5400,86.3370,136.3152,62.6560
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)/C=C(\[C@H]4SC(=S)N(C4=O)C(=O)O)[C@H]5SC(=S)N(C5=O)CC(=O)O,9,683.7948,6.5285,6,0,9,45,2,2,5,263.4500,122.0040,179.4029,77.1010
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)/C=C(/C#N)C(=O)O,10,388.4159,4.3010,3,0,5,29,0,0,3,94.5400,75.0030,111.1790,49.7320
c1cccc(c12)sc([n+]2CC(=O)O)/C=C/c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,11,515.6431,6.3230,2,0,4,37,0,0,6,102.8700,82.6700,145.2434,65.1030
OC(=O)c(c1)ccc(c12)[N+](C)=C(C2(C)C)/C=C/c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,12,525.6579,4.9438,2,0,3,39,0,0,6,73.7600,84.2540,152.7204,67.1240
OC(=O)CN1C(=S)S/C(C1=O)=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,13,498.6143,4.8249,4,0,3,34,0,0,5,148.4500,83.3370,137.1518,56.8320
OC(=O)/C(C(=O)O)=C\C=C\c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,14,437.4850,4.2561,2,0,4,32,0,0,4,108.0500,83.6700,121.4114,50.4540
N#C/C(C(=O)O)=C/C=C/C=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,15,444.5222,4.9984,3,0,5,33,0,0,4,94.5400,80.5030,131.0518,53.2260
N#C/C(C(=O)O)=C/C=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,16,418.4849,4.5306,3,0,4,31,0,0,4,94.5400,76.5030,120.7332,49.7480
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)/C=C/C=C(/C#N)C(=O)O,17,338.3572,3.2504,3,0,5,25,0,0,2,94.5400,67.6690,96.3614,40.2860
N#C/C(C(=O)O)=C\c(c1C(F)(F)F)c(=O)oc(c12)c3c4c(c2)C(C)(C)CCN4CCC3(C)C,18,460.4456,5.0051,3,0,4,33,0,0,4,94.5400,97.4200,116.3883,47.8320
N#C/C(C(=O)O)=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,19,392.4477,4.0628,3,0,3,29,0,0,4,94.5400,72.5030,110.4146,46.2700
OC(=O)/C=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,20,367.4382,4.1170,2,0,2,27,0,0,4,70.7500,64.3360,105.0185,44.4180
OC(=O)c(c(=O)o1)cc(c12)cc3c4c2CCCN4CCC3,21,285.2946,2.8399,2,0,1,21,0,0,4,70.7500,52.8360,76.7276,33.6000
c1cccc(c12)c3c(n2CCCC)ccc(c3)-c4ccc(c(c45)nsn5)-c6ccc(cc6)C=C(C7SC(=S)N(C7=O)CC(=O)O)C8SC(=S)N(C8=O)CC(=O)O,22,838.0290,9.3509,6,0,12,56,0,2,8,288.9500,137.0050,227.8490,101.8310
N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(s2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,23,556.6950,7.3017,3,0,5,39,0,0,6,151.0200,90.8370,153.3736,68.9860
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3csc(n3)-c4ccc(s4)/C=C(/C#N)C(=O)O,24,477.5554,4.9755,4,0,6,33,0,0,4,163.9100,83.0030,127.9817,58.2710
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3csc(n3)-c4ccc(s4)/C=C5/SC(=S)N(C5=O)CC(=O)O,25,583.7220,5.7376,5,0,8,38,0,0,5,217.8200,93.8370,154.7189,68.8330
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(s4)/C=C(/C#N)C(=O)O,26,470.5396,5.8671,3,0,6,34,0,0,4,122.7800,84.1700,132.6585,61.0900
OC(=O)c1ccc(cc1)-c2ccccc2-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,27,493.5928,6.7927,2,0,3,37,0,0,6,70.7500,83.0040,145.0474,66.7880
OC(=O)c1ccc(cc1)-c2cccc(c2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,28,493.5928,6.7927,2,0,3,37,0,0,6,70.7500,83.0040,145.0474,66.7880
OC(=O)c1ccc(cc1)-c2ccc(cc2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,29,493.5928,6.7927,2,0,3,37,0,0,6,70.7500,83.0040,145.0474,66.7880
N#C/C(C(=O)O)=C\c1ccc(cc1)N(c2ccccc2)CCCCCCN3c(cccc4)c4Sc(c35)cc(cc5)/C=C(\C#N)C(=O)O,30,640.7501,8.6564,2,0,13,47,0,0,5,153.9600,115.8370,187.0461,84.1840
N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(c(c23)nsn3)-c(c(=O)o4)cc(c45)cc6c7c5C(C)(C)CCN7CCC6(C)C,31,608.7298,7.2753,5,0,5,43,0,0,7,176.8000,100.1710,169.5504,74.8380
N#C/C(C(=O)O)=C\c1sc(c(c12)OCCO2)-c3ccc(c(c34)nsn4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,32,666.7659,7.0611,7,0,3,47,0,0,8,195.2600,109.5050,180.5078,79.0080
N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(s2)/C(C#N)=C/c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,33,607.7418,7.6086,4,0,6,43,0,0,6,174.8100,103.0040,169.0132,74.3160
