,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE
0,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,439.0,576.0,CH2Cl2/MeOH (1:1),687.0,10.79,0.7,5.19
10,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,465.0,490.0,Acetonitrile-DMSO,560.0,3.41,0.73,1.39
11,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,coumarin,438.0,500.0,Acetonitrile-DMSO,660.0,7.72,0.71,3.62
12,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,425.0,487.0,Acetonitrile-DMSO,600.0,4.03,0.73,1.77
13,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,coumarin,413.0,490.0,Acetonitrile-DMSO,690.0,5.79,0.7,2.8
14,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,449.0,494.0,Acetonitrile-DMSO,580.0,3.33,0.73,1.41
16,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,coumarin,578.0,673.0,"methanol, tert-butyl alcohol-acetonitrile",380.0,4.5,0.63,1.1
17,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,616.0,490.0,"methanol, tert-butyl alcohol-acetonitrile",340.0,2.7,0.63,0.6
18,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,coumarin,539.0,580.0,"methanol, tert-butyl alcohol-acetonitrile",490.0,7.5,0.7,2.6
19,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,coumarin,506.0,610.0,"methanol, tert-butyl alcohol-acetonitrile",480.0,12.8,0.6,3.7
22,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,coumarin,480.0,535.0,"methanol, tert-butyl alcohol-acetonitrile",530.0,13.2,0.67,4.7
23,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,coumarin,477.0,600.0,"methanol, tert-butyl alcohol-acetonitrile",500.0,9.4,0.65,3.1
24,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,493.0,540.0,"methanol, tert-butyl alcohol-acetonitrile",500.0,12.9,0.64,4.1
