,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,Jm,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
1,17.0,0.0,0.0,2.0,0.0,25.0,2.0,-2.0,907.09,5.627,1435.889,182.109,433.196,736.51,84.074,2671.862,2.0,11.0,0.0118494,0.010834,0.6485154,91.755,34.776,41.684,19.41,10.467,-15.244,-16.401,-7.117,0.05,-7.604,0.051,-4.509,7.876,2.117,8.0,2.149,1.0,38.956,0.0,0.0,205.387,10.0,2.0,3.0,36.0,0.0,36.0,0.0,65.0,1.6038659016298e-14,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,439.0,576.0,687.0,10.79,0.7,5.19
8,15.0,0.0,0.0,1.0,0.0,19.0,3.0,-2.0,987.198,12.071,1599.227,494.114,294.279,748.742,62.092,2985.16,1.0,11.0,0.0488134,0.0068783,0.6269508,108.263,37.218,45.803,18.793,13.011,-19.226,-18.88,-9.332,4.063,-5.421,3.584,-2.481,7.898,1.953,5.0,3.487,1.0,88.108,0.0,0.0,162.24,10.0,2.0,2.0,48.0,0.0,48.0,0.0,72.0,1.9353427346927799e-16,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",465.0,640.0,678.0,13.2,0.67,6.0
9,15.0,0.0,0.0,1.0,0.0,19.0,3.0,-2.0,905.078,12.937,1487.302,491.322,283.832,679.218,32.93,2774.039,1.0,11.0,0.0603328,0.0073959,0.6419595,99.15,33.906,42.561,17.969,11.536,-17.03,-16.861,-8.757,5.104,-5.092,3.175,-2.534,7.907,1.807,4.0,2.897,1.0,81.247,0.0,0.0,160.337,10.0,2.0,2.0,43.0,0.0,43.0,0.0,67.0,2.47187952105774e-14,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",460.0,590.0,695.0,12.2,0.74,6.2
10,14.0,0.0,0.0,1.0,0.0,19.0,3.0,-2.0,822.959,11.899,1384.192,483.234,272.845,628.112,0.0,2571.19,1.0,11.0,0.0550662,0.0079469,0.6557299,90.544,30.893,39.249,17.287,10.128,-14.988,-14.847,-8.291,6.488,-4.812,2.716,-2.511,7.822,1.214,3.0,2.332,1.0,74.865,0.0,0.0,155.276,10.0,2.0,2.0,38.0,0.0,38.0,0.0,62.0,2.60964517048553e-12,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c0ee00218f,"coumarin, triphenylamine",454.0,525.0,800.0,9.0,0.76,5.5
11,11.0,1.0,0.0,2.0,0.0,11.0,0.0,-2.0,781.945,10.301,1090.436,322.615,265.545,276.396,225.88,2086.187,2.0,13.5,0.0508593,0.0175085,0.7241032,72.912,24.092,37.016,19.909,4.486,-9.398,-10.155,-4.426,0.481,-2.523,3.962,-6.446,8.941,2.268,8.0,0.664,1.0,21.598,0.0,0.0,211.823,11.0,2.0,3.0,31.0,0.0,31.0,4.0,51.0,1.11851604706272e-10,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,465.0,490.0,560.0,3.41,0.73,1.39
12,1.0,0.0,0.0,1.0,0.0,8.0,1.0,-2.0,484.569,11.467,846.106,259.078,222.618,332.351,32.059,1507.285,1.0,7.0,0.0872336,0.0082732,0.7513993,52.205,16.931,24.282,12.136,5.273,-8.848,-8.524,-5.332,19.427,-2.469,13.316,-3.683,8.368,1.142,3.0,0.794,1.0,67.922,0.0,0.0,114.55,6.0,1.0,2.0,21.0,0.0,21.0,0.0,35.0,1.42372507897462e-07,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,438.0,500.0,660.0,7.72,0.71,3.62
13,13.0,0.0,0.0,2.0,0.0,12.0,0.0,-2.0,773.907,11.747,1126.132,297.383,284.586,355.991,188.172,2118.634,2.0,12.5,0.0651362,0.0156977,0.708402,74.328,25.113,37.064,19.447,7.323,-10.645,-11.647,-4.333,1.272,-3.479,6.371,-4.358,8.657,2.301,5.0,0.904,1.0,32.813,0.0,0.0,210.866,11.0,3.0,2.0,32.0,0.0,32.0,2.0,52.0,7.68181175168815e-10,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,425.0,487.0,600.0,4.03,0.73,1.77
14,1.0,0.0,0.0,1.0,0.0,9.0,1.0,-2.0,464.52,10.0,829.523,226.938,220.722,381.863,0.0,1479.293,1.0,7.0,0.0675975,0.0084386,0.7569016,50.915,16.73,23.461,12.189,5.047,-8.248,-8.173,-5.479,20.249,-2.547,9.294,-3.378,8.634,1.435,1.0,0.678,1.0,66.918,0.0,0.0,116.4,6.0,1.0,2.0,22.0,0.0,22.0,0.0,35.0,1.0982516499361e-06,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,413.0,490.0,690.0,5.79,0.7,2.8
15,8.0,0.0,0.0,2.0,0.0,9.0,0.0,-2.0,683.783,12.259,1004.265,294.002,290.6,213.67,205.993,1865.244,1.0,11.5,0.0805686,0.0114512,0.7296937,64.755,21.382,31.976,16.445,6.128,-9.402,-9.896,-3.31,1.115,-3.112,6.921,-5.258,8.811,2.46,4.0,0.564,1.0,24.796,0.0,0.0,210.428,11.0,3.0,2.0,26.0,0.0,26.0,2.0,45.0,1.4929875134303801e-09,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jphotochem.2014.06.001,coumarin,449.0,494.0,580.0,3.33,0.73,1.41
91,0.0,0.0,0.0,1.0,0.0,8.0,1.0,-2.0,388.422,9.696,708.465,233.461,214.393,260.611,0.0,1244.775,1.0,7.0,0.0755269,0.0098805,0.7899031,41.014,13.418,20.004,11.25,3.482,-6.261,-6.27,-4.367,23.249,-2.209,10.791,-3.785,8.669,1.324,1.0,0.102,1.0,71.792,0.0,0.0,113.685,6.0,0.0,1.0,16.0,0.0,16.0,0.0,29.0,3.4962178611261e-05,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,420.0,510.0,709.0,6.79,0.7,3.1
