S.No,Molecule SMILE,PCE
1,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,2.48
2,N#C/C(=C/c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,2.39
3,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C)/C(=O)O,3.96
4,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C,2.85
5,N#CC(=Cc1ccc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,5.02
6,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,5.15
7,N#CC(=Cc1ccc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)C(=O)O,3.87
8,N#CC(=Cc1ccc(s1)C=Cc1ccc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)C(C)(C)c1c2cccc1)C(=O)O,3.76
9,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,4.8
10,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,4.7
11,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,5
12,OC(=O)CN1C(=S)SC(=Cc2ccc(s2)c2ccc3c(c2)c2ccccc2n3c2ccc3c(c2)C(C)(C)c2c3cccc2)C1=O,1.79
13,OC(=O)CN1C(=S)SC(=Cc2ccc(s2)c2ccc(s2)c2ccc3c(c2)c2ccccc2n3c2ccc3c(c2)C(C)(C)c2c3cccc2)C1=O,0.55
14,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CC,5.1
15,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccccc1,5.3
16,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC,5.4
17,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,1.56
18,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccccc1)C(=O)O,3.29
19,CCCCC(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,3.8
20,CCCCC(COc1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,2.36
21,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)n(c1ccccc1)c1c2cccc1)C(=O)O,1.53
22,CCCCC(COc1ccc(cc1)n1c2ccccc2c2c1cc(cc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,1.2
23,N#CC(=Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,1.65
24,N#CC(=Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,2.81
25,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc(c2c1nc(c1csc(c1)C)c(n2)c1ccc(s1)C)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,4.63
26,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,5.46
27,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)n(CC(CCCC)CC)c1c2cc(cc1)c1sc2c(c1)sc1c2c(OCC(CCCC)CC)c(OCC(CCCC)CC)c2c1sc1c2sc(c1)/C=C(\C(=O)O)/C#N)CC,5.34
28,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/P(=O)(O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,3.4
29,CCCCn1c2ccc(cc2c2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N,1.54
30,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)OC)c1ccccc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,2.54
31,CCCCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OC,3.23
32,N#CC(=Cc1ccc(cc1)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,0.695
33,CCCCC(COc1c2c3sc(cc3sc2c2c(c1OCC(CCCC)CC)c1sc(cc1s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)c1ccccc1n2CC(CCCC)CC)CC,4.87
34,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C,3.64
35,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,4.8
36,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,5.69
37,CCCCCCCCCCCCn1c2ccc(cc2c2c1ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,4.82
38,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,4.62
39,N#CC(=Cc1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,4.3
40,N#CC(=Cc1ccc(s1)C=Cc1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(=O)O,5.22
41,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,3.9
42,COCCCCc1cc(sc1c1sc(c(c1)CCCCOC)c1sc(c(c1)CCCCOC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCOC)c1ccc2c(c1)c1ccccc1n2CC,2.9
43,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCOC)c1sc(cc1CCCCOC)c1ccc2c(c1)c1ccccc1n2CC,4
44,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,5.45
45,N#CC(=Cc1ccc(s1)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,0.819
46,CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.05
47,N#CC(=Cc1ccc2c(c1)c1ccccc1n2CC)C(=O)O,2.43
48,CCCCCCn1c2ccc(cc2c2c1ccc(c2)C=C1SC(=S)N(C1=O)CC(=O)O)C=C1SC(=S)N(C1=O)CC(=O)O,2.81
49,CCCCCCc1cc(sc1/C=C(\C(=O)O)/C#N)c1sc2c(c1)c1nn(nc1c1c2sc(c1)c1ccc2c(c1)n(CC(CCCC)CC)c1c2cccc1)CC(CCCC)CC,8.07
50,CCCCC(Cn1nc2c(n1)c1cc(sc1c1c2cc(s1)c1ccc2c(c1)n(CC(CCCC)CC)c1c2cccc1)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,7.52
51,N#C/C(=C/c1ccc(cc1)/C=C/c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)C)/C(=O)O,4.5
52,CCCCOCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1COCCCC)c1ccc2c(c1)c1ccccc1n2CC,4
53,CCCCn1c2cc(ccc2c2c1cc(cc2)/C=C(/C(=O)O)\C#N)n1c2ccccc2c2c1cccc2,0.99
54,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N,4.22
55,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)/C=C(/C(=O)O)\C#N,4.95
56,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.04
57,CCCCn1c2cc(ccc2c2c1cc(cc2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,5.48
