S.No,Molecule SMILE,PCE
1,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(s1)N(c1ccccc1)c1ccccc1)/C(=O)O,3.75
2,CCCCCCOc1ccc(cc1)N(c1ncc(s1)c1sc2c(c1)c1cc(sc1c(c2OCCCCCC)OCCCCCC)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,5.1
3,CCCCCCOc1ccc(cc1)N(c1ccc(s1)c1sc2c(c1)c1cc(sc1c(c2OCCCCCC)OCCCCCC)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCC,5.4
4,CCCCCCOc1ccc(cc1)N(c1ncc(s1)c1sc2c(c1)C(c1c2sc(c1)/C=C(/C(=O)O)\C#N)(CCCCCC)CCCCCC)c1ccc(cc1)OCCCCCC,4.8
5,CCCCCCOc1ccc(cc1)N(c1ccc(s1)c1sc2c(c1)C(c1c2sc(c1)/C=C(/C(=O)O)\C#N)(CCCCCC)CCCCCC)c1ccc(cc1)OCCCCCC,6.6
6,N#CC(=Cc1cnc(nc1)c1ccc(s1)N(c1ccccc1)c1ccccc1)C(=O)O,6.72
7,N#CC(=Cc1cnc(nc1)c1ccc(s1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)C(=O)O,7.05
8,CCCCCCOc1ccc(cc1)N(c1ccc(s1)c1ncc(cn1)C=C(C(=O)O)C#N)c1ccc(cc1)OCCCCCC,7.64
9,N#C/C(=C\c1cccc(c1)C#Cc1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)/C(=O)O,0.61
10,N#C/C(=C\c1ccc(s1)C#Cc1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)/C(=O)O,1.99
11,CCCCCCN(c1ccc(cc1)/C=C(/c1ccc(cc1)c1ccc(cc1)/C=C(\C(=O)O)/C#N)\C#N)c1ccc(cc1)/C=C(/c1ccc(cc1)c1ccc(cc1)/C=C(\C(=O)O)/C#N)\C#N,1.02
12,CCCCCCN(c1ccc(cc1)/C=C(/c1ccc(cc1)c1ccc(cc1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)\C#N)c1ccc(cc1)/C=C(/c1ccc(cc1)c1ccc(cc1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)\C#N,0.56
13,CCCCCCN(c1ccc(cc1)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)c1ccc(cc1)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N,3.16
14,N#C/C(=C\c1ccc(cc1)C#Cc1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)/C(=O)O,3
15,CCCCCCCCOc1c(OCCCCCCCC)c(c2ccc(s2)N(c2ccccc2)c2ccccc2)c2c(c1c1ccc(cc1)/C=C(\C(=O)O)/C#N)nsn2,6.66
16,CCCCCCCCOc1c(OCCCCCCCC)c(c2ccc(s2)N(c2ccccc2)c2ccccc2)c2c(c1c1ccc(o1)/C=C(\C(=O)O)/C#N)nsn2,7.16
