S.No,Molecule SMILE,PCE
1,N#C/C(=C\c1ccc2c(c1)Oc1c(N2CCCCCCN2c3ccccc3Oc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,2.71
2,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,7.5
3,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)cccc1,6.87
4,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,7.78
5,CCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,6.98
6,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,5.05
7,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,5.44
8,N#C/C(=C\c1ccc2c(c1)Sc1c(N2Cc2ccc(cc2)CN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,3.56
9,N#C/C(=C\c1ccc2c(c1)Sc1c(N2CCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,4.13
10,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)c1cc(c(s1)/C=C(/C(=O)O)\C#N)CCCCCC)c1ccc(s1)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC)CC,6.67
11,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)c1cc(c(s1)/C=C(/C(=O)O)\C#N)CCCCCC)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC)CC,6.48
12,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,6.29
13,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,5.55
15,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,4.41
16,CCCCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)C=C(c1ccccc1)c1ccccc1,2.48
17,N#C/C(=C\c1ccc2c(c1)Sc1c(N2C)ccc(c1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,4.6
18,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1,5.6
19,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1,2.04
20,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C(\C(=O)O)/C#N)c1ccc(s1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1,6.22
21,N#C/C(=C\c1ccc2c(c1)Sc1c(N2c2ccc(cc2)C(c2ccc(cc2)C)c2ccc(cc2)C)ccc(c1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,5.22
22,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)N(c2ccc(cc2)C)c2ccc(cc2)C)ccc(c1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,4.24
23,N#C/C(=C\c1ccc2c(c1)Sc1c(N2c2ccc(cc2)N(c2ccc(cc2)C)c2ccc(cc2)C)ccc(c1)c1ccc(s1)c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)/C(=O)O,4.8
24,CCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N,4.49
25,CCCCCCN1c2ccc(cc2Oc2c1cccc2)/C=C(/C(=O)O)\C#N,3.61
27,N#C/C(=C\c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,1.83
28,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.4
29,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)O)\C#N)c1cc2cc(n3c2c(c1)sc1c3cccc1)c1ccc(cc1)OCCCCCC,7.54
30,CCCCCCOc1ccc(cc1)c1cc2c3n1c1ccccc1sc3cc(c2)c1ccc(o1)/C=C(/C(=O)O)\C#N,5.6
31,CCCCCCOc1ccc(cc1)c1cc2c3n1c1ccccc1sc3cc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N,6.42
32,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(o1)C=C1SC(=S)N(C1=O)CC(=O)O,1.23
33,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(o1)/C=C(\C(=O)O)/C#N,5.31
34,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(s1)C=C1SC(=S)N(C1=O)CC(=O)O,2.26
35,CCCCCC1c2c(C)c(c(n2[B-]([N+]2=C(C(=C(C12)C)c1ccc2c(c1)Sc1c(N2CCC)cccc1)C)(F)F)C)c1ccc(s1)/C=C(\C(=O)O)/C#N,4.61
36,CCCCC(CN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(/C(=O)O)\C#N)CC,6.82
