S.No,Molecule SMILE,PCE
1,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C(F)(F)F)/c1ccc(cc1)C(F)(F)F)/c1ccc(cc1)C(F)(F)F,3
2,CCc1cc(CC)c(c(c1)CC)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(CC)cc(cc1CC)CC)/c1ccc(cc1)C(=O)O)/c1c(CC)cc(cc1CC)CC,1.4
3,OC(=O)c1ccc2c(c1)ccc1c2nc2c3/C(=C\4/C=CC(=N4)/C(=c/4\n5[Zn]n3c(c2n1)/C(=C\1/C=CC(=N1)/C(=c\5/cc4)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,5.1
5,Cc1cc(C)c(c(c1)C)/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1c(C)cc(cc1C)C)c1c5cc2c(c1)nc(cn2)C(=O)O)/c1c(C)cc(cc1C)C)/C=C4)\c1c(C)cc(cc1C)C,6.3
7,CCCCCCc1ccc(cc1)N(/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)cc5)/C#Cc1ccc(cc1)C(=O)O)/C=C4)\c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c1ccc(cc1)CCCCCC,9.1
8,Cc1ccc(cc1)N(/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/N(c1ccc(cc1)C)c1ccc(cc1)C)cc5)/c1c(C)cc(cc1C)C)/C=C4)\c1ccc(cc1)C(=O)O)c1ccc(cc1)C,8.3
9,OC(=O)c1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccccc1)/c1ccccc1)/c1ccccc1,1.2
10,Cc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)C,3
11,COc1ccc(cc1)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)OC)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)OC,3
12,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1c(C)cc(cc1C)C)/c1ccc(cc1)C(=O)O)/c1c(C)cc(cc1C)C,3.4
