,VOC,JSC,FF,PCE,Electrolyte,Active area,Co-adsorbent,Co-sensitizer,Semiconductor,Dye loading,Exposure time,Solar simulator,Performance comment,Article author,Article title,Article journal,Article volume,Article DOI,Article pages,Article issue nr,Article EID,Article year,Article year.1,Article electronic id,Article keywords,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent
0,687.0,10.79,0.7,5.19,Iodide_Triiodide,-,-,-,TiO2 (20 nm particle size),-,15 hours,AM 1.5G 100mW/cm2,-,Yanping Hong and Jin-Yun Liao and Jianlong Fu and Dai-Bin Kuang and Herbert Meier and Cheng-Yong Su and Derong Cao,Performance of dye-sensitized solar cells based on novel sensitizers bearing asymmetric double D-$\uppi$-A chains with arylamines as donors,Dyes and Pigments,94,10.1016/j.dyepig.2012.02.011,481--489,3,,01/01/2012,Hong_2012,,,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,439.0,576.0,CH2Cl2/MeOH (1:1)
7,678.0,13.2,0.67,6.0,Iodide_Triiodide,0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",465.0,640.0,dichloromethane
8,695.0,12.2,0.74,6.2,Iodide_Triiodide,0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",460.0,590.0,dichloromethane
9,800.0,9.0,0.76,5.5,Iodide_Triiodide,0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,"coumarin, triphenylamine",454.0,525.0,dichloromethane
10,560.0,3.41,0.73,1.39,Iodide_Triiodide,0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,465.0,490.0,Acetonitrile-DMSO
11,660.0,7.72,0.71,3.62,Iodide_Triiodide,0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,coumarin,438.0,500.0,Acetonitrile-DMSO
12,600.0,4.03,0.73,1.77,Iodide_Triiodide,0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,425.0,487.0,Acetonitrile-DMSO
13,690.0,5.79,0.7,2.8,Iodide_Triiodide,0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,coumarin,413.0,490.0,Acetonitrile-DMSO
14,580.0,3.33,0.73,1.41,Iodide_Triiodide,0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,449.0,494.0,Acetonitrile-DMSO
16,380.0,4.5,0.63,1.1,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,coumarin,578.0,673.0,"methanol, tert-butyl alcohol-acetonitrile"
