VOC,JSC,FF,PCE,Electrolyte,Active area,Co-adsorbent,Co-sensitizer,Semiconductor,Dye loading,Exposure time,Solar simulator,Performance comment,Article author,Article title,Article journal,Article volume,Article DOI,Article pages,Article issue nr,Article EID,Article year,Article year,Article electronic id,Article keywords,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent
687,10.79,0.7,5.19,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I2 , 0.5 M tert-butylpyridine in acetonitrile and valeronitrile (85:15)",-,-,-,TiO2 (20 nm particle size),-,15 hours,AM 1.5G 100 mW/cm2,-,Yanping Hong and Jin-Yun Liao and Jianlong Fu and Dai-Bin Kuang and Herbert Meier and Cheng-Yong Su and Derong Cao,Performance of dye-sensitized solar cells based on novel sensitizers bearing asymmetric double D-$\uppi$-A chains with arylamines as donors,Dyes and Pigments,94,10.1016/j.dyepig.2012.02.011,481--489,3,,01/01/2012,Hong_2012,,,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,439,576,CH2Cl2/MeOH (1:1)
790,6.9,0.47,2.6,"0.17 M Spiro-MeOTAD, 0.11 mM tert-butylpyridine, and 0.21 mM LiN(CF3SO2)2 in chlorobenzene",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,solid state device,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",465,640,dichloromethane
835,7.7,0.49,3.1,"0.17 M Spiro-MeOTAD, 0.11 mM tert-butylpyridine, and 0.21 mM LiN(CF3SO2)2 in chlorobenzene",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,solid state device,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",460,590,dichloromethane
800,6.4,0.43,2.2,"0.17 M Spiro-MeOTAD, 0.11 mM tert-butylpyridine, and 0.21 mM LiN(CF3SO2)2 in chlorobenzene",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,solid state device,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,"coumarin, triphenylamine",454,525,dichloromethane
651,10.3,0.75,5,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",465,640,dichloromethane
693,10,0.75,5.1,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",460,590,dichloromethane
740,8,0.77,4.8,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,"coumarin, triphenylamine",454,525,dichloromethane
678,13.2,0.67,6,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",465,640,dichloromethane
695,12.2,0.74,6.2,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,"coumarin, triphenylamine",460,590,dichloromethane
800,9,0.76,5.5,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)",0.158,-,-,TiO2 film (8 uM thick + 5 uM scattering layer),-,5 hours,AM 1.5G 100mW/cm2,-,L. Alibabaei and J.-H. Kim and M. Wang and N. Pootrakulchote and J. Teuscher and D. Di Censo and R. Humphry-Baker and J.-E. Moser and Y.-J. Yu and K.-Y. Kay and S. M. Zakeeruddin and M. Grätzel,Molecular design of metal-free D{\textendash}$\uppi$-A substituted sensitizers for dye-sensitized solar cells,Energy {\&} Environmental Science,3,10.1039/c0ee00218f,1757,11,,01/01/2010,Alibabaei_2010,,,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,"coumarin, triphenylamine",454,525,dichloromethane
