   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      39.0      14.315 +- 1.012               32.0      14.237 +- 0.394
      46.0      14.414 +- 0.860               39.0      14.201 +- 0.426
      53.0      14.787 +- 0.661               46.0      14.175 +- 0.442
      60.0      14.831 +- 0.609               53.0      13.921 +- 0.491
      67.0      14.632 +- 0.529               60.0      13.787 +- 0.517
      74.0      14.440 +- 0.499               67.0      13.729 +- 0.589
      81.0      14.432 +- 0.471               74.0      13.894 +- 0.641
      88.0      14.466 +- 0.432               81.0      13.793 +- 0.718
      95.0      14.339 +- 0.416               88.0      13.176 +- 0.947
     102.0      14.237 +- 0.394               95.0      13.425 +- 1.184
