   Time (ps)    Forward (kcal/mol)         Time (ps)    Reverse (kcal/mol)
      10.0       0.637 +- 1.019                0.0      -0.837 +- 0.405
      20.0       0.347 +- 0.775               10.0      -1.115 +- 0.441
      30.0       0.011 +- 0.677               20.0      -1.269 +- 0.474
      40.0      -0.442 +- 0.606               30.0      -1.308 +- 0.504
      50.0      -0.389 +- 0.554               40.0      -1.185 +- 0.544
      60.0      -0.542 +- 0.509               50.0      -1.377 +- 0.592
      70.0      -0.568 +- 0.478               60.0      -1.419 +- 0.670
      80.0      -0.702 +- 0.449               70.0      -1.619 +- 0.770
      90.0      -0.573 +- 0.423               80.0      -1.504 +- 0.953
     100.0      -0.837 +- 0.405               90.0      -3.732 +- 1.473
